F0101407720602404950001ADAPON, MARY ANN ARKONCEL                                2502CKO
F4101400260812033614001ESPINOSA FRANCHISES INC.                                 2601CKO
F4101400260812037024001ENSAIMADA JOLLY JAM INC.                                 2601CKO
F4101400260812037460001ESPINOSA BUSINESS INCORPORATED                           2601CKO
F4101400260812037664001ESPINOSA DESSERTS INC.                                   2601CKO
F4101400260812037718001ESPINOSA GOODFOOD INC.                                   2601CKO
F4101400260812041354001ENSALADANG TOMATO INC.                                   2601CKO
F4101400260000000048924ECCLA WAY INC.                                           2601CKO
F4101400260000000048935EXTRA XCITING INC.                                       2601CKO
F4101400260812552033001EMPANADA QUESO INC.                                      2601CKO
F4101400260812552466001ENSAIMADA NSAIMADA INC.                                  2601CKO
F4101400260812553200001EPINGEPNGOP RIGATONI INC.                                2601CKO
F4101400260812553205001EMPANADA PANDECOCO INC.                                  2601CKO
